order_id,transaction_id,status,product_category
ORD_00000415,TXN_00000415,completed,food_delivery
ORD_00000418,TXN_00000418,completed,electronics
ORD_00000427,TXN_00000427,completed,clothing
ORD_00000435,TXN_00000435,completed,food_delivery
ORD_00000438,TXN_00000438,cancelled,subscription
ORD_00000441,TXN_00000441,completed,food_delivery
ORD_00000454,TXN_00000454,shipped,electronics
ORD_00000455,TXN_00000455,completed,food_delivery
ORD_00000458,TXN_00000458,completed,subscription
ORD_00000459,TXN_00000459,completed,subscription
ORD_00000460,TXN_00000460,completed,home_goods
ORD_00000461,TXN_00000461,completed,books
ORD_00000463,TXN_00000463,processing,gaming
ORD_00000466,TXN_00000466,completed,books
ORD_00000471,TXN_00000471,refunded,home_goods
ORD_00000472,TXN_00000472,completed,clothing
ORD_00000474,TXN_00000474,completed,subscription
ORD_00000475,TXN_00000475,processing,food_delivery
ORD_00000476,TXN_00000476,refunded,food_delivery
ORD_00000484,TXN_00000484,refunded,electronics
ORD_00000488,TXN_00000488,completed,electronics
ORD_00000489,TXN_00000489,completed,books
ORD_00000491,TXN_00000491,completed,home_goods
ORD_00000492,TXN_00000492,completed,clothing
ORD_00000496,TXN_00000496,shipped,electronics
ORD_00000498,TXN_00000498,completed,electronics
ORD_00000502,TXN_00000502,completed,clothing
ORD_00000504,TXN_00000504,completed,gaming
ORD_00000505,TXN_00000505,cancelled,software
ORD_00000508,TXN_00000508,completed,clothing
ORD_00000509,TXN_00000509,cancelled,gaming
ORD_00000510,TXN_00000510,completed,subscription
ORD_00000520,TXN_00000520,completed,software
ORD_00000524,TXN_00000524,cancelled,gaming
ORD_00000540,TXN_00000540,completed,home_goods
ORD_00000546,TXN_00000546,completed,clothing
ORD_00000550,TXN_00000550,processing,food_delivery
ORD_00000553,TXN_00000553,completed,software
ORD_00000555,TXN_00000555,completed,clothing
ORD_00000556,TXN_00000556,shipped,gaming
ORD_00000560,TXN_00000560,completed,gaming
ORD_00000561,TXN_00000561,completed,books
ORD_00000562,TXN_00000562,completed,books
ORD_00000563,TXN_00000563,completed,subscription
ORD_00000564,TXN_00000564,completed,food_delivery
ORD_00000565,TXN_00000565,completed,gaming
ORD_00000566,TXN_00000566,completed,gaming
ORD_00000573,TXN_00000573,completed,software
ORD_00000574,TXN_00000574,refunded,home_goods
ORD_00000577,TXN_00000577,completed,gaming
ORD_00000592,TXN_00000592,shipped,electronics
ORD_00000600,TXN_00000600,completed,food_delivery
ORD_00000607,TXN_00000607,completed,gaming
ORD_00000608,TXN_00000608,completed,subscription
ORD_00000609,TXN_00000609,processing,home_goods
ORD_00000612,TXN_00000612,completed,home_goods
ORD_00000614,TXN_00000614,completed,clothing
ORD_00000619,TXN_00000619,completed,clothing
ORD_00000624,TXN_00000624,completed,electronics
ORD_00000627,TXN_00000627,processing,software
ORD_00000632,TXN_00000632,completed,software
ORD_00000637,TXN_00000637,processing,gaming
ORD_00000639,TXN_00000639,processing,clothing
ORD_00000640,TXN_00000640,completed,electronics
ORD_00000641,TXN_00000641,refunded,software
ORD_00000642,TXN_00000642,completed,software
ORD_00000645,TXN_00000645,completed,subscription
ORD_00000646,TXN_00000646,shipped,software
ORD_00000647,TXN_00000647,completed,electronics
ORD_00000648,TXN_00000648,shipped,clothing
ORD_00000654,TXN_00000654,cancelled,food_delivery
ORD_00000659,TXN_00000659,processing,home_goods
ORD_00000661,TXN_00000661,completed,software
ORD_00000663,TXN_00000663,completed,books
ORD_00000671,TXN_00000671,cancelled,electronics
ORD_00000674,TXN_00000674,completed,subscription
ORD_00000676,TXN_00000676,processing,software
ORD_00000681,TXN_00000681,shipped,clothing
ORD_00000683,TXN_00000683,processing,home_goods
ORD_00000686,TXN_00000686,completed,gaming
ORD_00000690,TXN_00000690,completed,books
ORD_00000691,TXN_00000691,completed,books
ORD_00000698,TXN_00000698,cancelled,books
ORD_00000699,TXN_00000699,processing,food_delivery
ORD_00000700,TXN_00000700,completed,electronics
ORD_00000701,TXN_00000701,refunded,subscription
ORD_00000702,TXN_00000702,completed,clothing
ORD_00000709,TXN_00000709,refunded,clothing
ORD_00000719,TXN_00000719,processing,books
ORD_00000720,TXN_00000720,completed,books
ORD_00000724,TXN_00000724,completed,electronics
ORD_00000725,TXN_00000725,completed,gaming
ORD_00000726,TXN_00000726,cancelled,clothing
ORD_00000727,TXN_00000727,completed,gaming
ORD_00000729,TXN_00000729,completed,food_delivery
ORD_00000733,TXN_00000733,completed,subscription
ORD_00000735,TXN_00000735,completed,home_goods
ORD_00000738,TXN_00000738,completed,home_goods
ORD_00000739,TXN_00000739,completed,subscription
ORD_00000742,TXN_00000742,completed,home_goods
ORD_00000744,TXN_00000744,completed,gaming
ORD_00000747,TXN_00000747,completed,subscription
ORD_00000748,TXN_00000748,completed,software
ORD_00000752,TXN_00000752,processing,electronics
ORD_00000760,TXN_00000760,completed,software
ORD_00000763,TXN_00000763,shipped,food_delivery
ORD_00000765,TXN_00000765,completed,software
ORD_00000766,TXN_00000766,completed,books
ORD_00000768,TXN_00000768,refunded,software
ORD_00000769,TXN_00000769,completed,home_goods
ORD_00000770,TXN_00000770,completed,gaming
ORD_00000771,TXN_00000771,completed,home_goods
ORD_00000772,TXN_00000772,completed,food_delivery
ORD_00000775,TXN_00000775,completed,books
ORD_00000776,TXN_00000776,completed,gaming
ORD_00000779,TXN_00000779,cancelled,home_goods
ORD_00000782,TXN_00000782,completed,subscription
ORD_00000784,TXN_00000784,cancelled,books
ORD_00000785,TXN_00000785,cancelled,electronics
ORD_00000788,TXN_00000788,completed,food_delivery
ORD_00000791,TXN_00000791,completed,clothing
ORD_00000794,TXN_00000794,shipped,electronics
ORD_00000795,TXN_00000795,completed,electronics
ORD_00000803,TXN_00000803,completed,food_delivery
ORD_00000804,TXN_00000804,cancelled,clothing
ORD_00000805,TXN_00000805,cancelled,software
ORD_00000806,TXN_00000806,completed,books
ORD_00000812,TXN_00000812,shipped,home_goods
ORD_00000814,TXN_00000814,completed,books
ORD_00000815,TXN_00000815,completed,food_delivery
ORD_00000818,TXN_00000818,completed,gaming
ORD_00000819,TXN_00000819,shipped,food_delivery
ORD_00000821,TXN_00000821,completed,electronics
ORD_00000831,TXN_00000831,refunded,books
ORD_00000835,TXN_00000835,completed,subscription
ORD_00000838,TXN_00000838,shipped,software
ORD_00000839,TXN_00000839,completed,subscription
ORD_00000840,TXN_00000840,shipped,subscription
ORD_00000842,TXN_00000842,completed,clothing
ORD_00000846,TXN_00000846,completed,subscription
ORD_00000847,TXN_00000847,completed,home_goods
ORD_00000848,TXN_00000848,cancelled,gaming
ORD_00000853,TXN_00000853,refunded,software
ORD_00000855,TXN_00000855,shipped,books
ORD_00000856,TXN_00000856,completed,electronics
ORD_00000857,TXN_00000857,completed,electronics
ORD_00000860,TXN_00000860,completed,clothing
ORD_00000862,TXN_00000862,shipped,home_goods
ORD_00000869,TXN_00000869,completed,clothing
ORD_00000871,TXN_00000871,cancelled,clothing
ORD_00000874,TXN_00000874,completed,software
ORD_00000875,TXN_00000875,completed,food_delivery
ORD_00000878,TXN_00000878,completed,clothing
ORD_00000880,TXN_00000880,cancelled,clothing
ORD_00000886,TXN_00000886,refunded,clothing
ORD_00000887,TXN_00000887,shipped,books
ORD_00000888,TXN_00000888,processing,books
ORD_00000889,TXN_00000889,completed,clothing
ORD_00000890,TXN_00000890,completed,home_goods
ORD_00000897,TXN_00000897,completed,software
ORD_00000898,TXN_00000898,cancelled,subscription
ORD_00000905,TXN_00000905,completed,electronics
ORD_00000906,TXN_00000906,completed,food_delivery
ORD_00000913,TXN_00000913,shipped,home_goods
ORD_00000915,TXN_00000915,shipped,software
ORD_00000919,TXN_00000919,processing,books
ORD_00000928,TXN_00000928,completed,books
ORD_00000929,TXN_00000929,processing,clothing
ORD_00000931,TXN_00000931,completed,gaming
ORD_00000932,TXN_00000932,completed,gaming
ORD_00000937,TXN_00000937,cancelled,subscription
ORD_00000944,TXN_00000944,completed,electronics
ORD_00000953,TXN_00000953,completed,subscription
ORD_00000955,TXN_00000955,processing,electronics
ORD_00000957,TXN_00000957,completed,electronics
ORD_00000958,TXN_00000958,completed,gaming
ORD_00000962,TXN_00000962,completed,software
ORD_00000972,TXN_00000972,completed,food_delivery
ORD_00000976,TXN_00000976,completed,electronics
ORD_00000980,TXN_00000980,cancelled,subscription
ORD_00000981,TXN_00000981,cancelled,home_goods
ORD_00000982,TXN_00000982,completed,gaming
ORD_00000987,TXN_00000987,completed,food_delivery
ORD_00000992,TXN_00000992,completed,food_delivery
ORD_00000996,TXN_00000996,completed,food_delivery
